school_name,campus_name,school_kind,school_type,establishment,region,admission_quota,graduate_count,student_count,employment_rate,students_per_faculty,faculty_securing_rate,scholarship_per_student,avg_tuition_thousand_krw,education_cost_thousand_krw,dormitory_capacity_rate
ICT폴리텍대학,본교,전문대학,기능대학,사립,경기,160,104,315,68,18.82,106.25,2653833.3,2500,42761.1,54.6
가야대학교(고령),제2캠퍼스,대학,대학교,사립,경북,0,0,0,0,0,0,0,0,0,0
가야대학교(김해),본교,대학,대학교,사립,경남,405,412,1621,74.2,31.43,66.67,4327666.2,7446.3,14651.5,29.8
가천대학교,본교,대학,대학교,사립,경기,4021,4287,23776,66.5,19.19,107.5,3550899.7,9094.4,15932.4,12.5
가톨릭관동대학교,본교,대학,대학교,사립,강원,1815,1309,5869,62.1,23.31,92.35,4484967.1,7725.8,16148.9,42.8
가톨릭꽃동네대학교,본교,대학,대학교,사립,충북,108,99,449,74.7,25.77,81.48,5943370,7468.8,21272.1,43.5
가톨릭대학교,제3캠퍼스,대학,대학교,사립,서울,50,45,215,0,26.75,88.89,5510290.5,6630,0,113.8
가톨릭대학교,제2캠퍼스,대학,대학교,사립,서울,173,92,976,62.8,2.68,506.93,2890124.9,9999.5,0,8
가톨릭대학교,본교,대학,대학교,사립,경기,1620,1527,8536,62.5,30.68,72.58,3624472.8,7725.2,29110.8,21.4
가톨릭상지대학교,본교,전문대학,전문대학,사립,경북,516,607,1740,80.7,29.25,69.86,4501394.9,6120.7,14277.1,33.5
감리교신학대학교,본교,대학,대학교,사립,서울,192,124,613,0,67.04,36.92,5512943.4,6941.4,11709.4,23.2
강남대학교,본교,대학,대학교,사립,경기,1491,1803,6404,59.8,35.23,65,3767409.3,8206.2,14656.8,14.1
강동대학교,본교,전문대학,전문대학,사립,충북,1191,1216,3723,78.9,31.73,67.15,4768823.1,6087.1,11318.2,22.9
강릉영동대학교,본교,전문대학,전문대학,사립,강원,700,1042,2404,75.6,26.9,75,2932208.5,6161.2,9008.7,21.3
강서대학교,본교,대학,대학교,사립,서울,277,281,1886,66.2,24.53,93.22,3438984,7933,10474.3,11.2
강원관광대학교,본교,전문대학,전문대학,사립,강원,0,0,0,0,0,0,0,0,0,0
강원대학교,제4캠퍼스,대학,대학교,국립,강원,459,0,534,0,6.52,303.33,0,4259.9,0,0
강원대학교,본교,대학,대학교,국립,강원,3180,3112,14797,57.7,20.29,100.36,3294645.8,4236.2,24018.4,26.5
강원대학교,제2캠퍼스,대학,대학교,국립,강원,1302,1044,5221,61.9,31.03,66.11,4078070.9,4191.1,0,48.5
강원대학교,제3캠퍼스,대학,대학교,국립,강원,1261,0,1463,0,6.36,305.62,0,4252.3,0,0
강원도립대학교,본교,전문대학,전문대학,공립,강원,314,234,581,63.9,34.37,59.38,3569703.9,2348,35536.1,48.3
개신대학원대학교,본교,대학원대학,전문대학원,사립,서울,40,53,256,40,66.67,37.5,-,3255.5,6361.4,6.2
거제대학교,본교,전문대학,전문대학,사립,경남,383,391,1074,77.3,29.7,67.35,4927382.4,6720.9,19529.9,52.2
건국대학교,본교,대학,대학교,사립,서울,3000,3309,17028,66.8,30.01,67.72,3760561.8,8986,18245.3,17.1
건국대학교(글로컬),분교,대학,대학교,사립,충북,1629,1571,7298,63.2,16.88,119.71,4601004.7,8838.6,18926.2,30.2
건신대학원대학교,본교,대학원대학,전문대학원,사립,대전,90,60,167,73.7,26,92.31,-,3297,10271.9,0
건양대학교,본교,대학,대학교,사립,충남,635,594,2524,72.8,26.33,85,4785366.2,6810.8,20095.9,50.1
건양대학교,제2캠퍼스,대학,대학교,사립,대전,1015,826,4033,78.2,20.77,90.87,4337264,7864.7,0,32.3
건양사이버대학교,본교,대학,사이버대학(대학),사립,대전,1068,1334,4142,74.3,185.84,105.56,2724903.6,2537.8,4959.3,0
경기과학기술대학교,본교,전문대학,전문대학,사립,경기,1330,1420,3992,69.7,34.65,58.33,4160948.1,6934,13658.4,15.9
경기대학교,제2캠퍼스,대학,대학교,사립,서울,328,479,1680,67.1,47.28,47.5,3771982.2,7800.6,0,0.3
