school_name,campus_name,school_kind,school_type,establishment,region,admission_quota,graduate_count,student_count,employment_rate,students_per_faculty,faculty_securing_rate,scholarship_per_student,avg_tuition_thousand_krw,education_cost_thousand_krw,dormitory_capacity_rate
한국과학기술원,본교,대학,대학교,특별법법인,대전,970,722,4147,68.5,18.06,111.33,7292869.2,6866,106084,55.2
한국관광대학교,본교,전문대학,전문대학,사립,경기,902,463,1474,68.8,40.09,56.25,4596666,6832,15066.3,48.3
한국교원대학교,본교,대학,대학교,국립,충북,546,582,2328,59.4,34.23,66.36,3063092.8,3456.1,18416.3,73.9
한국기술교육대학교,본교,대학,대학교,사립,충남,836,792,4221,82.8,22.08,93.91,4614370.4,4475.3,46520.5,56.4
한국농수산대학교,본교,전문대학,전문대학,특별법국립,전북,570,541,1508,76.4,34.2,58.14,126969.7,0,25623,118.5
한국방송통신대학교,본교,대학,방송통신대학,국립,서울,51915,21206,92177,74.5,1256.6,1.87,180242.3,762.4,1276.3,0
한국복지대학교,본교,전문대학,전문대학,국립,경기,0,126,38,71.1,0,0,3354709.3,0,0,0
한국복지사이버대학교,본교,전문대학,사이버대학(전문대학),사립,경북,1000,999,2141,72.5,142.86,140,2212817.1,2196,0,0
한국상담대학원대학교,본교,대학원대학,전문대학원,사립,서울,91,62,198,64.2,24,100,-,4466,13278.3,0
한국성서대학교,본교,대학,대학교,사립,서울,228,194,948,70,30.08,75.47,4978522.7,7506.7,14597.5,16.9
한국승강기대학교,본교,전문대학,전문대학,사립,경남,397,256,1819,82.5,31.55,61.11,6520569.6,7221.1,11438,29.4
한국에너지공과대학교,본교,대학,대학교,특별법법인,전남광주,100,35,377,0,28.49,69.74,16125108.8,9000,149112.7,168.4
한국열린사이버대학교,본교,대학,사이버대학(대학),사립,서울,1000,1833,5741,79.6,109.62,173.33,2185237.8,2423.1,6394.9,0
한국영상대학교,본교,전문대학,전문대학,사립,세종,1086,980,3104,72.5,38.02,52.17,4530066.2,6918.3,12868.8,34.5
한국예술종합학교,본교,대학,각종학교(대학),특별법국립,서울,558,524,2741,62.6,18.31,108.85,2467626.1,4806.5,29552,1.9
한국외국어대학교,본교,대학,대학교,사립,서울,3475,3654,17338,64.5,30.43,78.67,3177578.9,7791.8,12730,18.2
한국전력국제원자력대학원대학교,본교,대학원대학,전문대학원,사립,울산,75,49,140,96.6,19.73,100,-,23325,157669.2,154.5
한국전통문화대학교,본교,대학,대학교,특별법국립,충남,140,137,584,66.7,31.17,66.67,4042748.6,3483.2,41658.3,80
한국체육대학교,본교,대학,대학교,국립,서울,535,557,2394,77.5,26.43,75.66,3495563.9,3860.1,16678.8,37.4
한국침례신학대학교,본교,대학,대학교,사립,대전,190,191,641,51.3,35.09,69.23,7931579.7,5990,13083.5,47
한국폴리텍 I 대학 서울강서캠퍼스,본교,전문대학,기능대학,사립,서울,225,168,431,78.7,17.14,116.67,1344527.9,2494,12284.4,0
한국폴리텍 I 대학 서울정수캠퍼스,본교,전문대학,기능대학,사립,서울,435,434,1017,77.8,13.73,142.55,1445167.5,2494,11568.6,15
한국폴리텍 I 대학 성남캠퍼스,본교,전문대학,기능대학,사립,경기,285,220,574,75.7,12.29,160,1412817.6,2432,14244.9,44.4
한국폴리텍 I 대학 제주캠퍼스,본교,전문대학,기능대학,사립,제주,25,22,38,76.9,12.5,133.33,1518077.6,2164,79995.9,219.6
한국폴리텍 II 대학 남인천캠퍼스,본교,전문대학,기능대학,사립,인천,25,38,84,95.3,8.33,200,1220739.8,2494,74023.7,81.6
한국폴리텍 II 대학 인천캠퍼스,본교,전문대학,기능대학,사립,인천,625,577,1351,74.3,20.16,98.53,1648276,2494,9984.7,30.7
한국폴리텍 II 대학 화성캠퍼스,본교,전문대학,기능대학,사립,경기,0,12,21,90,0,0,0,0,141601.2,0
한국폴리텍 III 대학 강릉캠퍼스,본교,전문대학,기능대학,사립,강원,50,48,96,90.9,11.67,150,1616336.6,2526.8,26440.9,84.9
한국폴리텍 III 대학 원주캠퍼스,본교,전문대학,기능대학,사립,강원,50,37,123,80,10,200,1261775.3,2174,29415.6,244.8
한국폴리텍 III 대학 춘천캠퍼스,본교,전문대학,기능대학,사립,강원,150,87,233,78.1,14.29,140,1830885.1,2432,45741.8,93.9
